"CS","CorrRes","ITI","Res01rewCum","Res02rewCum","ResTotal","TASK","Wrong","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correctAnswer","correct_rating_response","correct_rating_response_1","count_ITI_questions","count_ITI_questions_1","count_ITI_questions_2","count_ITI_questions_3","count_ITI_questions_4","count_define_task","count_define_task_2_1","count_define_task_2_1_1","count_define_task_4_2","count_define_task_5","count_empty","count_end_of_experiment","count_evaluate_answer_1_2","count_evaluate_answer_2","count_experiment","count_final_questions","count_inline_transfer","count_inline_variabili","count_inline_variabili_1","count_inst_questions_1","count_instructions_transfer","count_logger","count_logger_1","count_logger_2","count_logger_3","count_new_form_multiple_choice","count_new_logger_1","count_new_logger_2","count_new_sequence","count_new_sequence_1_1_2","count_new_sequence_1_2","count_new_sequence_4","count_new_sequence_5","count_new_sketchpad","count_new_sketchpad_1","count_open_triggerEEG","count_pav_questions_2","count_question_1_1_2","count_question_1_2","count_random_ITI","count_rating","count_rating_response","count_rating_response_1","count_slot_buttons","count_slot_buttons_left","count_slot_buttons_right","count_slot_cue","count_slot_cue_buttons","count_slot_cue_left","count_slot_cue_right","count_slot_pav","count_strategy","count_transfer__sequence_1","count_transfer_loop__1","count_transfer_loop_complete_1","count_transfer_sequence_complete_1","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","lastRes_time","live_row","live_row_final_questions","live_row_pav_questions_2","logfile","mouse_backend","opensesame_codename","opensesame_version","question","repeat_cycle","resO1","resO1reward","resO2","resO2reward","response","response_end_of_experiment","response_instructions_transfer","response_rating_response","response_rating_response_1","response_time","response_time_end_of_experiment","response_time_instructions_transfer","response_time_rating_response","response_time_rating_response_1","reward","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_ITI_questions","time_ITI_questions_1","time_ITI_questions_2","time_ITI_questions_3","time_ITI_questions_4","time_define_task","time_define_task_2_1","time_define_task_2_1_1","time_define_task_4_2","time_define_task_5","time_empty","time_end_of_experiment","time_evaluate_answer_1_2","time_evaluate_answer_2","time_experiment","time_final_questions","time_inline_transfer","time_inline_variabili","time_inline_variabili_1","time_inst_questions_1","time_instructions_transfer","time_logger","time_logger_1","time_logger_2","time_logger_3","time_new_form_multiple_choice","time_new_logger_1","time_new_logger_2","time_new_sequence","time_new_sequence_1_1_2","time_new_sequence_1_2","time_new_sequence_4","time_new_sequence_5","time_new_sketchpad","time_new_sketchpad_1","time_open_triggerEEG","time_pav_questions_2","time_question_1_1_2","time_question_1_2","time_random_ITI","time_rating","time_rating_response","time_rating_response_1","time_slot_buttons","time_slot_buttons_left","time_slot_buttons_right","time_slot_cue","time_slot_cue_buttons","time_slot_cue_left","time_slot_cue_right","time_slot_pav","time_strategy","time_transfer__sequence_1","time_transfer_loop__1","time_transfer_loop_complete_1","time_transfer_sequence_complete_1","title","trigger","uniform_coordinates","width"
"NA","1","0","0","0","0","Pav_final_question","-1","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","g","NA","NA","0","NA","NA","0","NA","NA","NA","NA","0","0","0","0","0","NA","0","0","NA","0","0","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","0","0","0","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","CS1","0","NA","NA","NA","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","NA","20020","NA","NA","NA","NA","2820","2064","NA","NA","2853","NA","2064","2065","NA","2064","2064","NA","NA","NA","NA","NA","20520","NA","NA","NA","NA","2820","NA","2263","NA","NA","NA","2064","2263","2852","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","2","0","0","0","0","Pav_final_question","-2","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","space","NA","NA","0","NA","NA","1","NA","NA","NA","NA","1","0","0","0","1","NA","0","0","NA","0","0","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","0","NA","NA","NA","0","0","1","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","1","0","1","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","CS-","0","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","NA","24452","NA","NA","NA","NA","21195","2064","NA","NA","21197","NA","2064","2065","NA","2064","2064","NA","NA","NA","NA","NA","24952","NA","NA","NA","NA","21195","NA","2263","NA","NA","NA","2064","2263","21197","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","3","0","0","0","0","Pav_final_question","-3","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","l","NA","NA","0","NA","NA","2","NA","NA","NA","NA","2","0","0","0","2","NA","0","0","NA","0","0","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","0","NA","NA","NA","0","0","2","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","2","0","2","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","CS3","0","NA","NA","NA","NA","l","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","NA","28252","NA","NA","NA","NA","25584","2064","NA","NA","25587","NA","2064","2065","NA","2064","2064","NA","NA","NA","NA","NA","28752","NA","NA","NA","NA","25584","NA","2263","NA","NA","NA","2064","2263","25587","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","4","0","0","0","0","Pav_final_question","-4","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","a","NA","NA","0","NA","NA","3","NA","NA","NA","NA","3","0","0","0","3","NA","0","0","NA","0","0","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","0","NA","NA","NA","0","0","3","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","3","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","CS2","0","NA","NA","NA","NA","a","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","NA","31251","NA","NA","NA","NA","29398","2064","NA","NA","29400","NA","2064","2065","NA","2064","2064","NA","NA","NA","NA","NA","31751","NA","NA","NA","NA","29398","NA","2263","NA","NA","NA","2064","2263","29400","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Inst_final_question","-3","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","l","NA","NA","0","NA","0","3","NA","NA","0","NA","3","0","0","0","3","0","0","0","NA","0","0","0","0","NA","NA","0","3","NA","NA","NA","NA","3","0","0","NA","NA","NA","0","0","3","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","0","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","left","0","NA","NA","NA","NA","a","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","58900","31251","NA","NA","32377","NA","29398","2064","NA","NA","29400","32379","2064","2065","NA","2064","2064","31846","NA","NA","NA","59400","31751","NA","NA","NA","NA","29398","32377","2263","NA","NA","NA","2064","2263","29400","32379","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Inst_final_question","-2","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","a","NA","NA","0","NA","1","3","NA","NA","1","NA","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","NA","1","3","NA","NA","NA","NA","3","1","0","NA","NA","NA","0","0","3","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","1","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","l","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","NA","NA","63075","31251","NA","NA","60002","NA","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","NA","63575","31751","NA","NA","NA","NA","29398","60001","2263","NA","NA","NA","2064","2263","29400","60004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Strategy_final_question","-2","NA","NA","NA","NA","white","xpyriment","legacy","legacy","0","uniform","NA","a","NA","NA","0","NA","1","3","NA","NA","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","NA","1","3","0","NA","0","NA","3","1","0","0","NA","NA","0","0","3","1","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","0","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","Si, premevo il tasto che prima mi dava lo stesso premio","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","NA","63075","31251","NA","NA","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","NA","63575","31751","NA","NA","92215","NA","29398","60001","2263","64157","NA","NA","2064","2263","29400","60004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","8035","8035","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","NA","0","1","1","3","NA","0","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","0","1","3","0","0","0","0","3","1","0","0","0","0","0","0","3","1","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","0","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","5","NA","NA","5","NA","8035","NA","NA","8035","NA","O3","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","93169","63075","31251","NA","93169","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","NA","63575","31751","NA","101706","92215","93168","29398","60001","2263","64157","93671","NA","2064","2263","29400","60004","NA","92313","93671","NA","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","5434.5","5434.5","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","undefined","0","1","1","3","NA","0","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","0","1","3","0","0","0","0","3","1","0","0","0","0","0","0","3","1","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","0","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","5","NA","NA","5","5","2834","NA","NA","8035","2834","O3","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","101746","63075","31251","NA","93169","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","105083","63575","31751","NA","101706","92215","93168","29398","60001","2263","64157","93671","102249","2064","2263","29400","60004","NA","92313","93671","102249","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","4508.33333333","4508.33333333","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","undefined","0","3","1","3","NA","1","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","1","1","3","0","1","0","1","3","1","0","0","1","1","0","0","3","1","NA","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","1","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","8","NA","NA","8","5","2656","NA","NA","2656","2834","O1","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","106028","63075","31251","NA","106028","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","105083","63575","31751","NA","109187","92215","106027","29398","60001","2263","64157","106530","102249","2064","2263","29400","60004","NA","92313","106530","102249","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","3616.5","3616.5","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","undefined","0","3","1","3","NA","1","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","1","1","3","0","1","0","1","3","1","0","0","1","1","0","0","3","1","NA","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","1","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","8","NA","NA","8","8","941","NA","NA","2656","941","O1","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","109223","63075","31251","NA","106028","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","110667","63575","31751","NA","109187","92215","106027","29398","60001","2263","64157","106530","109725","2064","2263","29400","60004","NA","92313","106530","109725","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","3462.6","3462.6","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","undefined","0","5","1","3","NA","2","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","2","1","3","0","2","0","2","3","1","0","0","2","2","0","0","3","1","NA","0","2","2","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","2","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","8","NA","NA","8","8","2847","NA","NA","2847","941","O2","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","111589","63075","31251","NA","111588","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","110667","63575","31751","NA","114938","92215","111588","29398","60001","2263","64157","112091","109725","2064","2263","29400","60004","NA","92313","112091","109725","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
"NA","0","0","0","0","0","Rating","-2","undefined","undefined","3042.33333333","3042.33333333","white","xpyriment","legacy","legacy","0","uniform","undefined","a","undefined","undefined","0","5","1","3","NA","2","1","0","3","0","0","0","3","1","0","0","NA","0","0","0","0","NA","2","1","3","0","2","0","2","3","1","0","0","2","2","0","0","3","1","NA","0","2","2","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","06/15/21 17:43:26","The main experiment item","yes","","4. Transfer.osexp","C:\Users\cncadmin\Desktop\Sara G\new task","no","mono","no","18","no","black","no","yes","768","legacy","NA","2","0","3","C:/Users/cncadmin/Desktop/Sara G/DatiEEG/13ls5.csv","xpyriment","Kafkaesque Koffka","3.2.8","right","0","NA","NA","NA","NA","8","NA","NA","8","8","941","NA","NA","2847","941","O2","2","legacy","1024","2","48000","-16","experiment","13","odd","63653","114983","63075","31251","NA","111588","60002","64157","29398","2064","NA","NA","29400","60004","2064","2065","NA","2064","2064","31846","NA","NA","116426","63575","31751","NA","114938","92215","111588","29398","60001","2263","64157","112091","115485","2064","2263","29400","60004","NA","92313","112091","115485","NA","NA","NA","NA","NA","NA","NA","NA","64154","NA","NA","NA","NA","pit experiment","NA","yes","1024"
